Name,Group,Transaction Type,Notes,Transactions,📍 Budget Line Items,Average Expected Spend,Av. Spend
Subscriptions,Recurring,Expense,,Sample transaction (https://app.notion.com/p/Sample-transaction-3b07e487e9d481a8b33eceb44c5caa32?pvs=21),Cable bill Douala (https://app.notion.com/p/Cable-bill-Douala-39a7e487e9d48062b772c7e22c7138de?pvs=21),2000,0
Transport,,Expense,,,,,
UBA to MTN MoMO,,Transfer,,,,,
UBA to Orange Money,,Transfer,,,,,
UBA to SGC,,Transfer,,,,,
UBA to SGC Bali,,Transfer,,,,,
UBA to SGC Limbe,,Transfer,,,,,
Unknown,,Expense,,,,,
Unknown Source,,Income,,,,,
Utilities,,Expense,,,,,
